codigo,seccion
EISIA,Sección  Económica  y  Comercial
EITAL,Sección  de  Promoción  Comercial  y  Turismo
EITAL,"Oficina  de  Derechos  Humanos, Géneros  y  Diversidad"
EITAL,"Sección  de  Diplomacia  Pública, Comunicación  y  Prensa"
EJAMA,Sección  Cultural
EJAPO,Sección  Económica  -  Comercial  
EJAPO,Cooperación
EKENY,Cultural
EMARR,Sección  Consular
EMEXI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EMEXI,Sección  de  Prensa
EMOZA,Sección  Consular
EMOZA,Sección  Económica  y  Comercial  
ENIGE,Asuntos  Culturales  y  Prensa
ENZEL,Sección  Consular
EPORT,JEFE  DE  SECCIÓN  CULTURAL
ERUNI,Seccion  Prensa
ESUIZ,Jefe  de  Cancillería
ESUIZ,Sección  Cultural
ESUIZ,Sección  Política
ESURI,Sección  Administrativa
ETURQ,Sección  Cultural
EVENE,Sección  Política
EVENE,Sección  Cultural
CCHIC,Sección  Consular
CGTEL,Sección  Administrativa
CHONG,Asuntos  Consulares
CMIAM,Sección  Comercial  e  Inversiones
CPABL,Sección  Consular
CRECI,Sección  Consular
CRECI,Sección  Cultural  
CSHAN,Sección  Prensa
CTORO,SECCION  CULTURAL
CVIGO,Sección  Cultural
EARGE,Sección  Económica  y  Comercial
EAUST,Seccion  Cultural
EAUST,Sección  Política
EBOLV,"Sección  Cultural, Prensa, Educación, Derechos  Humanos  y  de  Cooperación  Técnica"
EBOLV,Embajador  Extraordinario  y  Plenipotenciario  de  la  República  Argentina  
EBRAS,Sección  Cultural
EBRAS,Jefe  de  Cancillería
ECEUR,Cancillería
ECEUR,Sección  Política
ECOLO,"Sección  Económica, Comercial  y  Turismo"
ECORE,"Sección  Cultural, Educación  y  Turismo"
EDINA,Sección  Administrativa
EEARB,"Sección  Económica, Comercial  y  de  Inversiones  /  Oficina  Comercial  en  Dubai"
EESPA,Sección  Económica  -  Comercial
EETIO,Sección  Económica  y  Comercial
EFRAN,Sección  Cultural
EFRAN,Jefe  de  Cancillería
EGREC,Sección  Cultural
EGUAT,Agregada  Administrativa
EHAIT,Sección  de  Prensa
EHAIT,Administración
EHILE,Secretaría  Privada
EHILE,Agregaduría  Naval
EHOND,Sección  Consular
EHOND,Sección  Encargado  Cancillería
EISIA,Sección  Consular
EISRA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EISRA,Sección  Política  y  Cultural
EITAL,Sección  Económica  y  Promoción  de  Inversiones
EKENY,Asuntos  Multilaterales  (PNUMA-ONU  Hábitat)
ELBNO,Sección  Consular
EMARR,Sección  Económica  y  Comercial
EMEXI,"Secciones  Cooperación, Educación, Turismo  y  Belice"
EMEXI,Sección  Administrativa  y  Recursos  Humanos  
ENIGE,Sección  Económica  y  Comercial
ENZEL,Sección  Económica  y  Comercial
EPERU,Agregaduria  de  Defensa  y  Aeronáutica
EPERU,Sección  Administrativa
EPNMA,Jefe  de  Cancillería
ESAFR,Sección  Económica  y  Comercial
ESALV,Cultural
ESSED,"Sección  Prensa, Redes  Sociales  y  Comunicación"
ETRIA,Sección  Consular
ETUNE,Prensa
ETURQ,Agregada  para  Asuntos  Administrativos
EUNGR,Sección  Administrativa
EVIET,Sección  Prensa  y  Cultura
CBARC,Sección  Consular  (Asistencia  al  ciudadano/Visas)
CFRAN,Sección  Consular
CHONG,Sección  Económica-Comercial
CMILA,Sección  Consular:  Cónsul  Adjunto  Lara  Fazzolari
CNYOR,Turismo
CPCAR,Cónsul  Adjunto
CSCRS,Seccion  Cultural
CSHAN,Sección  Económica  y  Comercial
EALEM,Jefa  de  Cancillería
EANGO,Sección  Consular
EARGE,Sección  Prensa
EARGE,Sección  Administrativa
EARME,Sección  Consular
EAUST,Sección  Comercio  e  Inversiones
EBARB,Sección  Consular
EBELG,Sección  Consular
EBOLV,"Sección  Económica, Comercial, de  Inversiones  y  Turismo."
EBOLV,Agregaduría  de  Prefectura  Naval
EBOLV,"Mujeres, Género, Diversidad  y  Medio  Ambiente"
EBRAS,"Sección  Económico-Comercial, Inversiones  y  Turismo"
ECANA,Sección  Administrativa
ECHES,Sección  Consular
ECHIN,Sección  Política
ECOLO,Sección  Consular
ECORE,Sección  Consular
ECUBA,Sección  Cooperación
ECUBA,Sección  Cultural
EEARB,Sección  Política
EECUA,Administración  y  Logística
EEGIP,Sección  Comercial
EEGIP,Sección  Política
EEGIP,Sección  Cultural
EESPA,Jefe  de  Misión  Adjunto
EFILI,Josefina  Marcela  Gallo  Morando
EFRAN,"Sección  Política, Asuntos  Juridicos  y  Derechos  Humanos"
EFRUS,Asuntos  Estratégicos
EFRUS,Sección  de  Prensa  y  Difusión
EGUAT,Sección  Económica  y  Comercial
EHAIT,Sección  Económica  y  Comercial
EHILE,Residencia  Oficial
EHOND,Sección  administrativa
EINDI,Jefe  de  Cancilleria
EITAL,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EITAL,Sección  Administrativa
EJAPO,Sección  Consular
EJAPO,Sección  Cultural  
EKENY,Económica  -  Comercial
EMARR,Sección  Administrativa
EMSIA,Sección  Económica  y  Comercial
ENIGE,Sección  Administrativa
ENORU,Sección  Económica  y  Comercial
EPBAJ,Sección  Política/Jurídica  
ERICA,Sección  Económica  y  Comercial
ERUNI,"Sección  Económica, Comercial  y  Turismo"
ESAFR,Sección  Administrativa
ESAFR,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
ESALV,Sección  Comercial  e  Inversiones
ESURI,Sección  Consular
ETAIL,Sección  Económica  y  Comercial
ETRIA,Sección  de  DDHH  y  Género
ETUNE,Asuntos  Culturales  
ETUNE,Cooperación  Internacional
ETUNE,Sección  Consular
EUCRA,Sección  Consular
EVIET,"Sección  Económica, Comercial  y  de  Inversiones"
EVIET,Sección  Consular
CBARC,"Sección  Comercial, Turismo  e  Inversiones"
CMIAM,Cónsul  General  Adjunto
CMILA,Sección  Administrativa  -  Titular:  
CNYOR,Administración
CNYOR,Visas
CNYOR,Comunidad  argentina  y  diplomacia  pública
CRECI,Sección  Administrativa  y  Contable
CRIOJ,Sección  Consular
CSCRS,Sección  Económica  y  Comercial
CSHAN,Sección  Turismo
CSIDN,Sección  Consular
CTORO,SECCION  ECONOMICA  Y  COMERCIAL
EALEM,Sección  Consular
EALEM,Sección  Administración
EAUST,Sección  Ciencia  y  Tecnología
EAUST,Sección  Administrativa
EBOLV,Agregaduría  de  Defensa  y  Militar
EBOLV,Contabilidad  y  Administración.
EBRAS,Consejería  Agrícola
ECEUR,Sección  Administrativa
ECEUR,Consejería  Agrícola
ECHIN,Agregaduría  Agrícola
ECHIN,Sección  Económica  y  Comercial
ECOLO,"Sección  Política, Tecnología  y  Ciencia"
ECUBA,Sección  Económica  y  Comercial
EDINA,Sección  Cultural
EDINA,Sección  Comercial
EDOMI,Sección  Económica  y  Comercial
EECUA,Sección  Consular
EECUA,Agregaduria  Militar
EEEUU,Agregaduria  Militar
EEEUU,Sección  Administrativa  y  Recursos  Humanos
EEEUU,Sección  Consular
EESPA,Sección  Administrativa  y  Recursos  Humanos
EFILI,Mauricio  Germán  Muñoz
EFINL,Sección  Comercial  y  de  Inversiones
EFRAN,Sección  Administrativa
EFRAN,Oficina  Turismo
EFRAN,Sección  Organismos  Internacionales  Económicos
EFRUS,"Sección  Energía, Ciencia  y  Tecnología"
EFRUS,Sección  Consular
EGREC,Sección  Administrativa
EHAIT,Sección  Cultural
EHAIT,Sección  Política
EHILE,Agregaduria  Militar
EKUWA,Sección  Consular
ELBIA,Sección  Consular
EMSIA,Sección  Política
ENICA,SECCION  CONSULAR
ENIGE,Sección  Consular  Embajada  Argentina  en  Nigeria
ENORU,Sección  Cultural
EPBAJ,Sección  Consular
EPERU,Jefe  de  Cancillería
EPNMA,Agregada  Administrativa
EQATR,Sección  Consular
EQATR,Seccion  Administrativa
ERUMA,Sección  Económica  y  Comercial
ERUNI,Seccion  Politica
ESALV,Administrativa  -  Contable
ESERB,"Sección  Cultural, Educación  y  Turismo"
ESSED,Embajadora
ESSED,Jefa  de  Sección  Secretaría  y  Despacho
ESUEC,"Sección  Económica, Comercial  y  de  Promoción  de  Inversiones"
ESUEC,Sección  Política
ESURI,Agregaduria  de  Defensa
ETAIL,Jefe  de  Cancillería
ETAIL,Sección  Cultural
ETAIL,Sección  Política
EUNGR,Sección  Cultural
EUNGR,Jefe  de  Cancillería
EUNGR,Sección  Política
EURUG,Jefe  de  Cancillería
EURUG,Sección  Política
EURUG,Sección  Cultural
EURUG,Sección  Comercial
CBARC,Sección  Consular  (Opción  de  Nacionalidad/Notariales/Itinerancias)
CFRAN,Sección  Económica  y  Comercial
CGTEL,Sección  Consular
CMIAM,Sección  Consular  (Trámites  generales)
CMILA,Sección  Consular  -  Cónsul  Adjunto  Agustín  Busignani  
CNYOR,Sección  Notarial
CRECI,Sección  Prensa
CRIOJ,Sección  Cultural
CRIOJ,Sección  Turismo
CSHAN,Sección  Cultural  
CSHAN,Sección  Deportiva
CSHAN,Sección  Consular
CTORO,SECCION  CONSULAR
CURUG,Sección  Comercial
EALEM,Sección  Turismo
EALEM,Sección  Política
EALEM,Sección  Cultural
EANGO,Sección  Económica  y  Comercial
EARME,Sección  Económica  y  Comercial
EASIR,Sección  Consular
EBARB,Sección  Cooperación  Internacional
EBARB,Sección  Económica  y  Comercial
EBELG,Sección  Económica  y  Comercial
EBOLV,Misión  Naval  Argentina
EBOLV,"Sección  Política, Fronteras, Defensa  y  Seguridad"
ECHES,Sección  Económica  y  Comercial
ECOLO,"Sección  Cultural, Educativa  y  Cooperación  Judicial"
ECORE,Sección  Económica  y  Comercial
EDINA,Sección  Consular
EECUA,Sección  Política
EECUA,Sección  Cultural
EEEUU,Agregaduria  Naval
EEEUU,Jefe  de  Cancillería
EEEUU,Sección  Política
EEGIP,Agregaduría  Militar
EESPA,Sección  Política  y  Cooperación  Jurídica
EFILI,Ana  Clara  Pianezza  
EFRUS,Sección  Política
EFRUS,Jefe  de  Cancillería
EGUAT,Sección  Consular
EHAIT,Cooperación  Internacional
EHAIT,Sección  Consular
EHILE,Agregaduria  Aeronáutica
EHILE,Jefe  de  Cancillería
EHILE,Sección  Política
EHILE,Sección  Cultural
EITAL,Sección  de  Cooperación  Internacional
EKUWA,Sección  Cultural
EMEXI,Negociaciones  Económicas  Bilaterales
EMOZA,Sección  de  Administración  y  Finanzas
EMSIA,Sección  Consular
ENORU,Sección  Consular
EPERU,Sección  Económica  y  Comercial  
EPERU,Sección  de  Cooperación  Judicial  y  Asuntos  de  Género
EQATR,Sección  Comercial
EQATR,Jefe  de  Cancillería
EQATR,Sección  Política
ERICA,Sección  Consular
ERUNI,Administración
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
ESSED,Jefa  de  Cancillería
ESUEC,Sección  Consular
ESURI,Sección  Económica  y  Comercial
ETAIL,Sección  Consular
ETRIN,Sección
ETUNE,Sección  Económica  y  Comercial
EUCRA,Sección  Económica  y  Comercial
EUNGR,Sección  Consular
EVIET,Sección  Política  y  Cooperación
CBARC,Sección  Administrativa
CGMUM,Sección  Consular
CMIAM,Sección  Consular  (Notariales)
CMIAM,Sección  Administración
CMIAM,Sección  Consular  (Visas  y  Asistencia  a  Argentinos)
CNYOR,Sección  Económica  y  Comercial
CNYOR,Asistencia  a  Argentinos  en  el  Exterior
CNYOR,Promoción  Cultural
CSCRS,Sección  Administrativa
CSIDN,Sección  Comercial  y  Cultural
CVIGO,Sección  Económica  y  Comercial
EARGE,Sección  Política
EARGE,Sección  Cultural
EAZER,Sección  Consular
EBOLV,Agregaduría  de  Gendarmería  Nacional  Argentina  (GNA)
ECANA,Sección  Cultural
ECANA,"Sección  Económica-Comercial, Cooperación  e  Innovación"
ECANA,Jefe  de  Cancillería
ECEUR,Sección  Económica  y  Comercial
ECHES,Sección  Política  
ECHIN,Sección  Administrativa
ECHIN,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
ECUBA,Sección  Administrativa
EECUA,Sección  Educación  y  Cooperación
EEEUU,Prensa
EEGIP,Sección  Administrativa
EESPA,"Sección  Política, Prensa  y  Comunicación"
EETIO,Sección  Política
EETIO,Sección  Cultural
EFILI,Andrea  Silvina  Repetti
EFINL,Sección  Consular
EFRAN,Sección  Cooperación  Internacional
EFRAN,"Sección  Económica, Comercial, Promoción  e  Inversiones"
EGREC,Sección  Económica  y  Comercial
EHILE,Agregaduría  de  Defensa  y  Aeronáutica
EIRLA,Sección  Consular
EISRA,Sección  Económico-Comercial  y  de  Cooperación
EITAL,"Sección  Cultural, Educación, Ciencia  y  Tecnología  "
EITAL,Jefe  de  Cancillería
EITAL,Sección  Política
EKENY,Política  y  Cooperación    
EKENY,Administración
ELBNO,Sección  Económica  -  Comercial  e  Inversiones
ELBNO,Sección  Administrativa  Contable
EMARR,Sección  Política
EMARR,Sección  Cultural
EMOZA,Sección  Política
EMOZA,Sección  Cultural
EMOZA,Jefe  de  Cancillería
ENIGE,Sección  Política
ENIGE,Jefe  de  Cancillería
ENZEL,Sección  Política
EPBAJ,"Sección  Económica  y  Comercial, Prensa  y  Turismo."
EPNMA,Sección  Económica  y  Comercial
EPOLO,Sección  Cultural
EPOLO,Sección  Comercial
EPORT,Agregado  Administrativo
EPORT,JEFE  DE  SECCIÓN  CONSULAR
EPORT,JEFE  DE  CANCILLERIA
EPORT,JEFE  DE  SECCIÓN  ECONÓMICA  Y  COMERCIAL
ESALV,Prensa
ESERB,Sección  Consular
ESING,Sección  Administrativa
ESING,Sección  Política  y  Cultural
ESSED,Sección  Cultura
ESUIZ,Sección  Consular
ESUIZ,"Sección  Económica, Comercial  y  de  Inversiones"
ETAIL,Agregado  Administrativo
ETRIA,Asuntos  ONUDD
ETRIA,Sección  de  Cooperación  Jurídica
ETURQ,Sección  Consular
EVENE,Sección  Consular
,Sección  Económica  y  Comercial
CGMUM,Sección  Económica  y  Comercial
CMIAM,Sección  Consular  (Documentación)
CNYOR,Sección  Consular
CSIDN,Sección  Administrativa
CVIGO,Sección  Consular
EALEM,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EALEM,Sección  de  Prensa
EAZER,Sección  Económica  y  Comercial
EBRAS,Agregado  Naval
EBRAS,Sección  Consular
ECHIN,Jefe  de  Cancilleria
EECUA,Sección  Prensa
EEEUU,Consejería  Agrícola
EFRAN,Sección  Consular
EFRUS,Sección  Malvinas  Antártida  y  Atlántico  Sur
EFRUS,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EGREC,Sección  Consular
EHILE,Sección  Administrativa
EHILE,Sección  Prensa
EHOND,Sección  Comercial
EINDI,Sección  Agrícola
EINDI,Sección  Política
EIRLA,Sección  Económica  y    Comercial
EISIA,Sección  Política
EISIA,Sección  Cultural
EJAMA,Sección  Económica  y  Comercial
EJAPO,Administrativa
EKUWA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EKUWA,Sección  Administrativa
ELBNO,Sección  Cultural
ELBNO,Sección  Política
EMOZA,Sección  de  Prensa  y  Difusión
EPAKI,Sección  Económica
EPBAJ,Rep.  Permanente  OPAQ
EPERU,Sección  Política  
EPERU,"Sección  Cultural, Educación  y  Prensa"
EPNMA,Sección  Consular
ERUNI,Sección  Cultural
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea"
ESALV,Sección  Consular  
ESERB,Sección  Económica  y  Comercial
ETRIA,Sección  de  Administración
ETRIA,"Asuntos  Nucleares  (OIEA, CTBTO, Zangger  C., NSG)"
ETRIA,Asuntos  ONUDI
ETRIA,Sección  Comercial
ETRIA,Asuntos  ONUAEE
ETRIA,Sección  Cultural
ETURQ,Sección  Económica  y  Comercial
EVENE,Sección  Económica  y  Comercial
